Top pages,Clicks,Impressions,CTR,Position,Topics_x,Topics_y
https://www.jeanpierreweill.com/products/kotel-2,4,453,0.88%,38.12,,"kotel, products, jean pierre weill"
https://www.jeanpierreweill.com/pages/about,3,6635,0.05%,6.54,,"artist, Jean Pierre Weill, about page, biography, artworks, creativity"
https://www.jeanpierreweill.com/products/jerusalem-prayer-1,3,1793,0.17%,8.5,,"jerusalem, prayer, products, art"
https://www.jeanpierreweill.com/products/watering,3,1326,0.23%,6.83,,"watering, products, Jean Pierre Weill, art, paintings"
https://www.jeanpierreweill.com/products/picassos-mirror,3,1041,0.29%,7.99,,"mirror, Picasso, art, products"
https://www.jeanpierreweill.com/products/venice-autumn-1,3,586,0.51%,9.27,,"autumn, Venice, art, Jean Pierre Weill, products"
https://www.jeanpierreweill.com/products/new-york-summer,3,252,1.19%,10.27,,"new york summer, jean pierre weill, products"
https://www.jeanpierreweill.com/products/einstien,3,228,1.32%,11.79,,"einstein, products, jeanpierreweill, art, paintings"
https://www.jeanpierreweill.com/products/child-on-beach,3,195,1.54%,14.17,,"beach, child, art, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/pages/galleries,3,44,6.82%,13.91,,"galleries, Jean Pierre Weill, pages, art, exhibitions"
https://www.jeanpierreweill.com/blogs/stories-from-our-family-studio/free-video-of-jean-pierre-weills-complete-book-the-well-of-being,3,34,8.82%,13.47,,"family, studio, free video, complete book, well-being"
https://www.jeanpierreweill.com/products/jitter-bug,2,2073,0.10%,42.05,,"jitter bug, products, Jean Pierre Weill, art, sculpture"
https://www.jeanpierreweill.com/products/aleph-bet,2,898,0.22%,24.37,,"alphabet, art, Hebrew letters, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/shape-of-my-heart,2,819,0.24%,17.42,,"heart, shape, art, product, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/jean-pierre-weill-moonlight-dance,2,375,0.53%,30.62,,"moonlight dance, jean-pierre weill, products, art, creativity"
https://www.jeanpierreweill.com/products/jazz-ensemble,2,361,0.55%,28.58,,"jazz ensemble, music, products, Jean Pierre Weill, performance"
https://www.jeanpierreweill.com/products/dancing-cranes,2,317,0.63%,20.9,,"art, sculpture, wildlife, nature, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/dancing-on-the-edge,2,314,0.64%,25.01,,"dancing, edge, art, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/cave-of-machpelah,2,255,0.78%,36.54,,"cave of Machpelah, Jean Pierre Weill, products"
https://www.jeanpierreweill.com/products/soul-train,2,237,0.84%,17.12,,* No topics found
https://www.jeanpierreweill.com/products/happy-anniversary,2,236,0.85%,16.85,,"happy anniversary, products, jean pierre weill"
https://www.jeanpierreweill.com/products/jar,2,206,0.97%,27.52,,* No topics found
https://www.jeanpierreweill.com/products/cafe-dartistes,2,112,1.79%,22.04,,"cafe, d'artistes, products, Jean Pierre Weill, art, online store, paintings, shop, gallery"
https://www.jeanpierreweill.com/products/cranes-in-winter,2,82,2.44%,37.67,,"* Cranes, Winter, Art, Jean Pierre Weill, Products"
https://www.jeanpierreweill.com/products/birthday-celebration,2,66,3.03%,26.09,,"birthday, celebration, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/open-bird-cage,2,66,3.03%,28.56,,"bird cage, Jean Pierre Weill, products, open, art"
https://www.jeanpierreweill.com/products/improvisation-1,2,59,3.39%,13.19,,"improvisation, art, painting, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/shalom,2,42,4.76%,22.07,,"shalom, products, jean pierre weill"
https://www.jeanpierreweill.com/products/where-is-pablo,2,32,6.25%,16.84,,"pablo, jean pierre weill, products, art, where is pablo"
https://www.jeanpierreweill.com/pages/faq,2,12,16.67%,10.67,,"* faq, jeanpierreweill, pages"
https://www.jeanpierreweill.com/products/giraffe-heart,1,1717,0.06%,11.84,,"giraffe, heart, products, Jean Pierre Weill, art"
https://www.jeanpierreweill.com/products/mazal,1,1511,0.07%,12.72,,* No topics found
https://www.jeanpierreweill.com/products/red-riding-hood,1,497,0.20%,56.96,,"red riding hood, products, jean pierre weill, art, painting"
https://www.jeanpierreweill.com/products/fiddler-1,1,440,0.23%,6.47,,"sculpture, art, artist, fiddler, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/herodion,1,427,0.23%,30.89,,* No topics found
https://www.jeanpierreweill.com/products/new-york-jazz,1,370,0.27%,14.85,,"jazz, New York, products, Jean Pierre Weill, artprints"
https://www.jeanpierreweill.com/products/horodium,1,359,0.28%,7.94,,"horodium, products, jeanpierreweill"
https://www.jeanpierreweill.com/products/john-lennon,1,354,0.28%,10.94,,"* John Lennon, Art, Products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/einstien-1,1,345,0.29%,7.86,,"einstein, products, jeanpierreweill"
https://www.jeanpierreweill.com/products/fiddler,1,337,0.30%,18.86,,"fiddler, products, jean pierre weill"
https://www.jeanpierreweill.com/collections/classique,1,312,0.32%,9.91,,"* Classique, Jean Pierre Weill, Collections, Art, Contemporary Art"
https://www.jeanpierreweill.com/products/bob-marley,1,290,0.34%,26.91,,"* Bob Marley, products, Jean Pierre Weill, art, paintings"
https://www.jeanpierreweill.com/products/ahava-1,1,258,0.39%,16.08,,* No topics found
https://www.jeanpierreweill.com/products/kotel-1,1,242,0.41%,35.0,,"kotel, products, jean pierre weill, art, contemporary art"
https://www.jeanpierreweill.com/pages/newsletter,1,230,0.43%,7.55,,"newsletter, Jean Pierre Weill, pages"
https://www.jeanpierreweill.com/products/sailing-to-byzuntium,1,158,0.63%,20.58,,"sailing, Byzantium, products, Jean Pierre Weill, art"
https://www.jeanpierreweill.com/products/mesorah,1,133,0.75%,17.05,,* No topics found
https://www.jeanpierreweill.com/products/the-small-things,1,119,0.84%,29.48,,"small things, products, Jean Pierre Weill, art, creativity"
https://www.jeanpierreweill.com/products/nature-is-a-temple,1,99,1.01%,18.51,,"temple, nature, Jean Pierre Weill, products, art"
https://www.jeanpierreweill.com/products/horse-and-rider,1,83,1.20%,17.96,,"horse, rider, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/pages/interview-with-studio-manager,1,81,1.23%,39.38,,"* Interview, Studio Manager, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/jerusalem-prayer,1,80,1.25%,37.16,,"prayer, Jerusalem, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/burgundy-wine,1,74,1.35%,10.16,,"wine, burgundy, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/flying-high-with-you,1,70,1.43%,20.4,,"flying high, products, jean pierre weill"
https://www.jeanpierreweill.com/products/elephant,1,56,1.79%,35.25,,"* Elephant, Products, Art, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/nose-to-nose,1,54,1.85%,12.28,,"* Nose, Products, Jean Pierre Weill, Art, Sculpture"
https://www.jeanpierreweill.com/products/men-raining,1,43,2.33%,24.65,,"men, raining, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/aware-of-our-own-thinking,1,35,2.86%,12.49,,"aware, thinking, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/venice-autumn,1,34,2.94%,27.88,,"autumn, Venice, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/pages/returns-policy,1,16,6.25%,35.0,,"returns policy, Jean Pierre Weill, online purchases, refunds, exchanges"
https://www.jeanpierreweill.com/pages/terms-of-service,1,10,10%,16.0,,* No topics found
https://www.jeanpierreweill.com/blogs/stories-from-our-family-studio/lev-haolam,1,2,50%,3.5,,"family studio, stories, Lev Haolam"
https://www.jeanpierreweill.com/products/moonlit-promenade,0,1052,0%,6.08,,"prominent topics found in the URL 'https://www.jeanpierreweill.com/products/moonlit-promenade':
moonlit, promenade, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/account/login,0,832,0%,4.48,,"account, login, Jean Pierre Weill, art, website"
https://www.jeanpierreweill.com/products/love,0,577,0%,14.43,,"* Love, Products, Jean Pierre Weill, Art, Contemporary"
https://www.jeanpierreweill.com/products/ill-take-manhattan,0,574,0%,19.73,,"* fashion, jewelry, Manhattan, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/road-runner,0,539,0%,23.2,,"* road runner, products, jean pierre weill, art, paintings"
https://www.jeanpierreweill.com/products/ballet,0,329,0%,13.47,,"ballet, products, Jean Pierre Weill, art, dance"
https://www.jeanpierreweill.com/products/summerfriends,0,314,0%,19.5,,"nature, friendship, summer, art, products"
https://www.jeanpierreweill.com/products/window,0,294,0%,10.13,,"* Window, Products, Jean Pierre Weill, Artistic Windows, Decorative Windows"
https://www.jeanpierreweill.com/products/medical-superhero-m,0,234,0%,8.98,,"* medical superhero, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/cat,0,224,0%,15.06,,"products, cat, Jean Pierre Weill, art, paintings"
https://www.jeanpierreweill.com/products/western-wall,0,217,0%,23.19,,"western wall, products, jean pierre weill"
https://www.jeanpierreweill.com/products/tree-of-purple-hearts-1,0,210,0%,34.07,,"tree of purple hearts, jean pierre weill, products, art, decorative painting"
https://www.jeanpierreweill.com/collections/petitegrand?page=2,0,205,0%,67.14,,"jewelry, accessories, petitegrand, collections, online store"
https://www.jeanpierreweill.com/products/happy-penguin,0,199,0%,18.57,,"happy penguin, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/time-flies,0,194,0%,13.7,,"* Time flies, art, illustration, painting, surrealism"
https://www.jeanpierreweill.com/products/milk-and-honey,0,193,0%,29.4,,"milk, honey, products, Jean Pierre Weill, art"
https://www.jeanpierreweill.com/products/balloon-over-paris-bridge,0,154,0%,37.77,,"paris, bridge, balloon, art, products"
https://www.jeanpierreweill.com/products/bear-with-balloons,0,137,0%,7.2,,"bear, balloons, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/emet,0,135,0%,6.07,,No topics found
https://www.jeanpierreweill.com/products/jacqueline-sitting,0,131,0%,15.87,,"sitting, jacqueline, products, jean pierre weill"
https://www.jeanpierreweill.com/products/tree-of-life-1,0,121,0%,7.56,,"* Tree of Life, Jean Pierre Weill, Products, Artistic, Decoration"
https://www.jeanpierreweill.com/products/goat-on-balcony,0,112,0%,17.01,,"balcony, goat, art, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/jaffa,0,111,0%,6.74,,* No topics found
https://www.jeanpierreweill.com/products/bookville,0,105,0%,17.51,,"bookville, products, Jean Pierre Weill, art, design"
https://www.jeanpierreweill.com/products/to-bestow-a-gift,0,98,0%,15.6,,* No topics found
https://www.jeanpierreweill.com/products/gift-card,0,97,0%,12.8,,"gift card, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/audrey,0,95,0%,12.12,,"audrey, jean pierre weill, products"
https://www.jeanpierreweill.com/products/petite-in-classique-size,0,90,0%,7.09,,"petite, classique, size"
https://www.jeanpierreweill.com/products/medical-superhero-f,0,87,0%,19.3,,"medical, superhero, products, jean pierre weill"
https://www.jeanpierreweill.com/products/ballet-class,0,73,0%,22.75,,"ballet, class, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/natures-song,0,73,0%,27.71,,"nature, song, products, Jean Pierre Weill, art"
https://www.jeanpierreweill.com/products/an-i-in-the-o-cean,0,72,0%,27.89,,* No topics found
https://www.jeanpierreweill.com/products/coiffure,0,66,0%,11.11,,"coiffure, products, Jean Pierre Weill, hair styling, fashion"
https://www.jeanpierreweill.com/products/penguin,0,66,0%,32.39,,"* Animal art, Penguin sculptures, Wildlife sculptures, Jean Pierre Weill."
https://www.jeanpierreweill.com/products/to-bestow-a-gift-1,0,58,0%,11.6,,"gift, art, Jean Pierre Weill, products, bestow"
https://www.jeanpierreweill.com/products/limitless,0,58,0%,22.83,,"art, painting, innovation, creativity, inspiration"
https://www.jeanpierreweill.com/products/sailing,0,52,0%,33.06,,"* Sailing, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/shalom-1,0,52,0%,40.04,,"* shalom, products, jeanpierreweill, art, painting"
https://www.jeanpierreweill.com/products/tree-of-orange-hearts,0,52,0%,43.08,,"orange, tree, hearts, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/yours-for-the-taking,0,49,0%,11.49,,* No topics found
https://www.jeanpierreweill.com/products/monkey,0,49,0%,16.47,,"monkey, products, Jean Pierre Weill, art, painting"
https://www.jeanpierreweill.com/products/moonlit-dancers,0,48,0%,21.38,,"dance, art, moonlit, dancers, products"
https://www.jeanpierreweill.com/products/alon,0,45,0%,22.84,,"* Art, Sculpture, Jean Pierre Weill, Alon, products"
https://www.jeanpierreweill.com/products/couple-in-studio,0,41,0%,13.54,,"* couple, studio, products, Jean Pierre Weill, art"
https://www.jeanpierreweill.com/products/bird-cage,0,38,0%,9.92,,"bird cage, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/new-york-jazz-1,0,34,0%,13.29,,"jazz, New York, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/three-stars-two-deer-one-moon,0,32,0%,8.97,,"moon, stars, deer, art, products"
https://www.jeanpierreweill.com/products/wonder,0,29,0%,11.66,,* No topics found
https://www.jeanpierreweill.com/products/wings,0,29,0%,14.9,,"wings, products, Jean Pierre Weill, art, contemporary art"
https://www.jeanpierreweill.com/pages/galleries-and-gift-stores,0,27,0%,41.89,,"galleries, gift stores, art, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/sweet-year,0,26,0%,26.35,,"product, sweet year, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/feather,0,22,0%,58.23,,* No topics found
https://www.jeanpierreweill.com/products/city-overlook,0,20,0%,38.05,,"city, overlook, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/wildflowers,0,19,0%,7.79,,"wildflowers, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/incline-towards-joy,0,18,0%,21.28,,"* Joy, Incline, Products, Jean Pierre Weill, Art"
https://www.jeanpierreweill.com/products/boots,0,17,0%,14.35,,"boots, products, Jean Pierre Weill, fashion, footwear"
https://www.jeanpierreweill.com/collections/all?page=3,0,16,0%,10.25,,"art, sculptures, collections, artist, creative"
https://www.jeanpierreweill.com/products/daydreams,0,14,0%,25.0,,"daydreams, products, Jean Pierre Weill, art, creativity"
https://www.jeanpierreweill.com/pages/book,0,13,0%,20.46,,* No topics found
https://www.jeanpierreweill.com/products/cat-1,0,13,0%,29.15,,"cat, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/balloon,0,12,0%,22.33,,"balloon, products, Jean Pierre Weill, art, creativity"
https://www.jeanpierreweill.com/products/we-awaken,0,11,0%,10.55,,* No topics found
https://www.jeanpierreweill.com/products/feel-our-feelings-and-release-them,0,11,0%,14.82,,"emotions, feelings, release, products"
https://www.jeanpierreweill.com/collections,0,11,0%,28.18,,"sculpture, art, collections, Jean Pierre Weill"
https://www.jeanpierreweill.com/pages/privacy-policy,0,11,0%,51.27,,"privacy policy, Jean Pierre Weill, data protection, information collection, website policies"
https://www.jeanpierreweill.com/products/at-home-in-the-world,0,9,0%,15.56,,"home, world, Jean Pierre Weill, products"
https://www.jeanpierreweill.com/products/novel-and-distinctive-beings,0,8,0%,9.25,,"* Novel Beings, Distinctive Beings, Jean Pierre Weill, Art, Products"
https://www.jeanpierreweill.com/products/you-have-what-you-aeek,0,8,0%,11.75,,* No topics found
https://www.jeanpierreweill.com/products/begnnings,0,8,0%,25.25,,"beginnings, products, Jean Pierre Weill, art, contemporary art"
https://www.jeanpierreweill.com/collections/all?page=2,0,6,0%,6.67,,"art, collections, paintings, artist, contemporary"
https://www.jeanpierreweill.com/products/over-and-over,0,2,0%,10.0,,"paintings, artist, repetition, surrealism, contemporary art"
https://www.jeanpierreweill.com/products/hand-written-personalization-inside-your-painting,0,2,0%,52.5,,"hand-written, personalization, painting, products"
https://www.jeanpierreweill.com/blogs/stories-from-our-family-studio,0,1,0%,5.0,,"family, stories, studio, Jean Pierre Weill"
https://www.jeanpierreweill.com/blogs/stories-from-our-family-studio/challenges-and-gift-of-working-in-a-family-studio,0,1,0%,6.0,,"family studio, challenges, gifts, stories, Jean Pierre Weill"
https://www.jeanpierreweill.com/collections/petite/products/cranes-in-winter,0,1,0%,12.0,,"winter, cranes, petite, collection, art"
