Top pages,Clicks,Impressions,CTR,Position
https://www.jeanpierreweill.com/products/cafe-dartistes,2,112,1.79%,22.04
https://www.jeanpierreweill.com/products/cranes-in-winter,2,82,2.44%,37.67
https://www.jeanpierreweill.com/products/birthday-celebration,2,66,3.03%,26.09
https://www.jeanpierreweill.com/products/open-bird-cage,2,66,3.03%,28.56
https://www.jeanpierreweill.com/products/improvisation-1,2,59,3.39%,13.19
https://www.jeanpierreweill.com/products/shalom,2,42,4.76%,22.07
https://www.jeanpierreweill.com/products/where-is-pablo,2,32,6.25%,16.84
https://www.jeanpierreweill.com/pages/faq,2,12,16.67%,10.67
https://www.jeanpierreweill.com/products/giraffe-heart,1,1717,0.06%,11.84
https://www.jeanpierreweill.com/products/mazal,1,1511,0.07%,12.72
https://www.jeanpierreweill.com/products/red-riding-hood,1,497,0.20%,56.96
https://www.jeanpierreweill.com/products/fiddler-1,1,440,0.23%,6.47
https://www.jeanpierreweill.com/products/herodion,1,427,0.23%,30.89
https://www.jeanpierreweill.com/products/new-york-jazz,1,370,0.27%,14.85
https://www.jeanpierreweill.com/products/horodium,1,359,0.28%,7.94
https://www.jeanpierreweill.com/products/john-lennon,1,354,0.28%,10.94
https://www.jeanpierreweill.com/products/einstien-1,1,345,0.29%,7.86
https://www.jeanpierreweill.com/products/fiddler,1,337,0.30%,18.86
https://www.jeanpierreweill.com/collections/classique,1,312,0.32%,9.91
https://www.jeanpierreweill.com/products/bob-marley,1,290,0.34%,26.91
https://www.jeanpierreweill.com/products/ahava-1,1,258,0.39%,16.08
https://www.jeanpierreweill.com/products/kotel-1,1,242,0.41%,35
https://www.jeanpierreweill.com/pages/newsletter,1,230,0.43%,7.55
https://www.jeanpierreweill.com/products/sailing-to-byzuntium,1,158,0.63%,20.58
https://www.jeanpierreweill.com/products/mesorah,1,133,0.75%,17.05
https://www.jeanpierreweill.com/products/the-small-things,1,119,0.84%,29.48
https://www.jeanpierreweill.com/products/nature-is-a-temple,1,99,1.01%,18.51
https://www.jeanpierreweill.com/products/horse-and-rider,1,83,1.20%,17.96
https://www.jeanpierreweill.com/pages/interview-with-studio-manager,1,81,1.23%,39.38
https://www.jeanpierreweill.com/products/jerusalem-prayer,1,80,1.25%,37.16
https://www.jeanpierreweill.com/products/burgundy-wine,1,74,1.35%,10.16
https://www.jeanpierreweill.com/products/flying-high-with-you,1,70,1.43%,20.4
https://www.jeanpierreweill.com/products/elephant,1,56,1.79%,35.25
https://www.jeanpierreweill.com/products/nose-to-nose,1,54,1.85%,12.28
https://www.jeanpierreweill.com/products/men-raining,1,43,2.33%,24.65
https://www.jeanpierreweill.com/products/aware-of-our-own-thinking,1,35,2.86%,12.49
https://www.jeanpierreweill.com/products/venice-autumn,1,34,2.94%,27.88
https://www.jeanpierreweill.com/pages/returns-policy,1,16,6.25%,35
https://www.jeanpierreweill.com/pages/terms-of-service,1,10,10%,16
https://www.jeanpierreweill.com/blogs/stories-from-our-family-studio/lev-haolam,1,2,50%,3.5
https://www.jeanpierreweill.com/products/moonlit-promenade,0,1052,0%,6.08
https://www.jeanpierreweill.com/account/login,0,832,0%,4.48
https://www.jeanpierreweill.com/products/love,0,577,0%,14.43
https://www.jeanpierreweill.com/products/ill-take-manhattan,0,574,0%,19.73
https://www.jeanpierreweill.com/products/road-runner,0,539,0%,23.2
https://www.jeanpierreweill.com/products/ballet,0,329,0%,13.47
https://www.jeanpierreweill.com/products/summerfriends,0,314,0%,19.5
https://www.jeanpierreweill.com/products/window,0,294,0%,10.13
https://www.jeanpierreweill.com/products/medical-superhero-m,0,234,0%,8.98
https://www.jeanpierreweill.com/products/cat,0,224,0%,15.06
https://www.jeanpierreweill.com/products/western-wall,0,217,0%,23.19
https://www.jeanpierreweill.com/products/tree-of-purple-hearts-1,0,210,0%,34.07
https://www.jeanpierreweill.com/collections/petitegrand?page=2,0,205,0%,67.14
https://www.jeanpierreweill.com/products/happy-penguin,0,199,0%,18.57
https://www.jeanpierreweill.com/products/time-flies,0,194,0%,13.7
https://www.jeanpierreweill.com/products/milk-and-honey,0,193,0%,29.4
https://www.jeanpierreweill.com/products/balloon-over-paris-bridge,0,154,0%,37.77
https://www.jeanpierreweill.com/products/bear-with-balloons,0,137,0%,7.2
https://www.jeanpierreweill.com/products/emet,0,135,0%,6.07
https://www.jeanpierreweill.com/products/jacqueline-sitting,0,131,0%,15.87
https://www.jeanpierreweill.com/products/tree-of-life-1,0,121,0%,7.56
https://www.jeanpierreweill.com/products/goat-on-balcony,0,112,0%,17.01
https://www.jeanpierreweill.com/products/jaffa,0,111,0%,6.74
https://www.jeanpierreweill.com/products/bookville,0,105,0%,17.51
https://www.jeanpierreweill.com/products/to-bestow-a-gift,0,98,0%,15.6
https://www.jeanpierreweill.com/products/gift-card,0,97,0%,12.8
https://www.jeanpierreweill.com/products/audrey,0,95,0%,12.12
https://www.jeanpierreweill.com/products/petite-in-classique-size,0,90,0%,7.09
https://www.jeanpierreweill.com/products/medical-superhero-f,0,87,0%,19.3
https://www.jeanpierreweill.com/products/ballet-class,0,73,0%,22.75
https://www.jeanpierreweill.com/products/natures-song,0,73,0%,27.71
https://www.jeanpierreweill.com/products/an-i-in-the-o-cean,0,72,0%,27.89
https://www.jeanpierreweill.com/products/coiffure,0,66,0%,11.11
https://www.jeanpierreweill.com/products/penguin,0,66,0%,32.39
https://www.jeanpierreweill.com/products/to-bestow-a-gift-1,0,58,0%,11.6
https://www.jeanpierreweill.com/products/limitless,0,58,0%,22.83
https://www.jeanpierreweill.com/products/sailing,0,52,0%,33.06
https://www.jeanpierreweill.com/products/shalom-1,0,52,0%,40.04
https://www.jeanpierreweill.com/products/tree-of-orange-hearts,0,52,0%,43.08
https://www.jeanpierreweill.com/products/yours-for-the-taking,0,49,0%,11.49
https://www.jeanpierreweill.com/products/monkey,0,49,0%,16.47
https://www.jeanpierreweill.com/products/moonlit-dancers,0,48,0%,21.38
https://www.jeanpierreweill.com/products/alon,0,45,0%,22.84
https://www.jeanpierreweill.com/products/couple-in-studio,0,41,0%,13.54
https://www.jeanpierreweill.com/products/bird-cage,0,38,0%,9.92
https://www.jeanpierreweill.com/products/new-york-jazz-1,0,34,0%,13.29
https://www.jeanpierreweill.com/products/three-stars-two-deer-one-moon,0,32,0%,8.97
https://www.jeanpierreweill.com/products/wonder,0,29,0%,11.66
https://www.jeanpierreweill.com/products/wings,0,29,0%,14.9
https://www.jeanpierreweill.com/pages/galleries-and-gift-stores,0,27,0%,41.89
https://www.jeanpierreweill.com/products/sweet-year,0,26,0%,26.35
https://www.jeanpierreweill.com/products/feather,0,22,0%,58.23
https://www.jeanpierreweill.com/products/city-overlook,0,20,0%,38.05
https://www.jeanpierreweill.com/products/wildflowers,0,19,0%,7.79
https://www.jeanpierreweill.com/products/incline-towards-joy,0,18,0%,21.28
https://www.jeanpierreweill.com/products/boots,0,17,0%,14.35
https://www.jeanpierreweill.com/collections/all?page=3,0,16,0%,10.25
https://www.jeanpierreweill.com/products/daydreams,0,14,0%,25
https://www.jeanpierreweill.com/pages/book,0,13,0%,20.46
https://www.jeanpierreweill.com/products/cat-1,0,13,0%,29.15
https://www.jeanpierreweill.com/products/balloon,0,12,0%,22.33
https://www.jeanpierreweill.com/products/we-awaken,0,11,0%,10.55
https://www.jeanpierreweill.com/products/feel-our-feelings-and-release-them,0,11,0%,14.82
https://www.jeanpierreweill.com/collections,0,11,0%,28.18
https://www.jeanpierreweill.com/pages/privacy-policy,0,11,0%,51.27
https://www.jeanpierreweill.com/products/at-home-in-the-world,0,9,0%,15.56
https://www.jeanpierreweill.com/products/novel-and-distinctive-beings,0,8,0%,9.25
https://www.jeanpierreweill.com/products/you-have-what-you-aeek,0,8,0%,11.75
https://www.jeanpierreweill.com/products/begnnings,0,8,0%,25.25
https://www.jeanpierreweill.com/collections/all?page=2,0,6,0%,6.67
https://www.jeanpierreweill.com/products/over-and-over,0,2,0%,10
https://www.jeanpierreweill.com/products/hand-written-personalization-inside-your-painting,0,2,0%,52.5
https://www.jeanpierreweill.com/blogs/stories-from-our-family-studio,0,1,0%,5
https://www.jeanpierreweill.com/blogs/stories-from-our-family-studio/challenges-and-gift-of-working-in-a-family-studio,0,1,0%,6
https://www.jeanpierreweill.com/collections/petite/products/cranes-in-winter,0,1,0%,12
